,0,1
285,"(138, 1.7799999999999994, -0.92000000000000004)","(-2250.9200430000001, 5)"
286,"(138, 1.7799999999999994, -1.0)","(-2250.9200430000001, 5)"
287,"(130, 1.7799999999999994, -0.92000000000000004)","(-2250.9200430000001, 5)"
288,"(138, 1.7799999999999994, -0.84000000000000008)","(-2250.9200430000001, 5)"
289,"(146, 1.6999999999999993, -0.84000000000000008)","(-2250.9200430000001, 5)"
290,"(154, 1.4599999999999995, -0.92000000000000004)","(-2247.0100090000001, 5)"
291,"(154, 1.5399999999999996, -0.84000000000000008)","(-2247.0100090000001, 5)"
292,"(154, 1.6199999999999994, -0.84000000000000008)","(-2247.0100090000001, 5)"
293,"(154, 1.4599999999999995, -0.84000000000000008)","(-2247.0100090000001, 5)"
294,"(154, 1.6199999999999994, -0.92000000000000004)","(-2247.0100090000001, 5)"
295,"(154, 1.5399999999999996, -0.92000000000000004)","(-2247.0100090000001, 5)"
296,"(202, 1.9399999999999993, -0.84000000000000008)","(-2246.8499750000001, 3)"
297,"(202, 1.9399999999999993, -1.0)","(-2246.8499750000001, 3)"
298,"(202, 1.9399999999999993, -0.92000000000000004)","(-2246.8499750000001, 3)"
299,"(130, 1.8599999999999994, -0.92000000000000004)","(-2243.440063, 5)"
300,"(130, 1.8599999999999994, -1.0)","(-2243.440063, 5)"
301,"(130, 1.8599999999999994, -0.84000000000000008)","(-2243.440063, 5)"
302,"(138, 1.8599999999999994, -0.84000000000000008)","(-2236.570068, 5)"
303,"(138, 1.8599999999999994, -1.0)","(-2236.570068, 5)"
304,"(138, 1.8599999999999994, -0.92000000000000004)","(-2236.570068, 5)"
305,"(194, 0.65999999999999992, -0.76000000000000012)","(-2235.880005, 5)"
306,"(194, 2.0999999999999992, -0.84000000000000008)","(-2234.670044, 3)"
307,"(186, 2.0199999999999991, -0.76000000000000012)","(-2234.670044, 3)"
308,"(194, 2.0999999999999992, -0.92000000000000004)","(-2234.670044, 3)"
309,"(186, 2.0999999999999992, -0.76000000000000012)","(-2234.670044, 3)"
310,"(210, 2.0199999999999991, -0.84000000000000008)","(-2234.670044, 3)"
311,"(194, 2.0199999999999991, -0.84000000000000008)","(-2234.670044, 3)"
312,"(178, 2.0999999999999992, -1.0)","(-2234.670044, 3)"
313,"(186, 2.0199999999999991, -0.84000000000000008)","(-2234.670044, 3)"
314,"(194, 2.0199999999999991, -1.0)","(-2234.670044, 3)"
315,"(186, 2.0199999999999991, -0.92000000000000004)","(-2234.670044, 3)"
316,"(186, 2.0199999999999991, -1.0)","(-2234.670044, 3)"
317,"(194, 2.0199999999999991, -0.92000000000000004)","(-2234.670044, 3)"
318,"(202, 2.0199999999999991, -0.84000000000000008)","(-2234.670044, 3)"
319,"(186, 2.0999999999999992, -1.0)","(-2234.670044, 3)"
320,"(210, 1.9399999999999993, -0.92000000000000004)","(-2234.670044, 3)"
321,"(194, 2.0999999999999992, -1.0)","(-2234.670044, 3)"
322,"(186, 2.0999999999999992, -0.84000000000000008)","(-2234.670044, 3)"
323,"(186, 2.0999999999999992, -0.92000000000000004)","(-2234.670044, 3)"
324,"(178, 2.0999999999999992, -0.92000000000000004)","(-2234.670044, 3)"
325,"(202, 2.0199999999999991, -0.92000000000000004)","(-2234.670044, 3)"
326,"(202, 2.0199999999999991, -1.0)","(-2234.670044, 3)"
327,"(210, 2.0199999999999991, -0.92000000000000004)","(-2234.670044, 3)"
328,"(210, 1.9399999999999993, -0.84000000000000008)","(-2234.670044, 3)"
329,"(154, 1.6999999999999993, -0.92000000000000004)","(-2233.850097, 5)"
330,"(154, 1.6999999999999993, -0.84000000000000008)","(-2233.850097, 5)"
331,"(178, 0.8999999999999998, -0.84000000000000008)","(-2231.7099599999997, 5)"
332,"(178, 0.8999999999999998, -0.76000000000000012)","(-2231.7099599999997, 5)"
333,"(146, 1.8599999999999994, -0.92000000000000004)","(-2229.5200189999996, 5)"
334,"(146, 1.8599999999999994, -0.84000000000000008)","(-2229.5200189999996, 5)"
335,"(194, 0.81999999999999984, -0.76000000000000012)","(-2225.2099610000005, 5)"
336,"(194, 0.73999999999999988, -0.76000000000000012)","(-2225.2099610000005, 5)"
337,"(130, 1.9399999999999993, -0.92000000000000004)","(-2223.3599849999996, 5)"
338,"(130, 1.9399999999999993, -1.0)","(-2223.3599849999996, 5)"
339,"(130, 1.9399999999999993, -0.84000000000000008)","(-2223.3599849999996, 5)"
340,"(218, 0.8999999999999998, -0.52000000000000024)","(-2222.3798820000002, 5)"
341,"(178, 0.97999999999999976, -0.76000000000000012)","(-2220.5599359999997, 5)"
342,"(178, 0.97999999999999976, -0.84000000000000008)","(-2220.5599359999997, 5)"
343,"(210, 0.8999999999999998, -0.68000000000000016)","(-2219.9399410000001, 5)"
344,"(210, 0.8999999999999998, -0.6000000000000002)","(-2219.9399410000001, 5)"
345,"(194, 0.8999999999999998, -0.76000000000000012)","(-2218.3900149999999, 5)"
346,"(122, 2.0199999999999991, -0.92000000000000004)","(-2217.130005, 5)"
347,"(178, 2.1799999999999993, -0.92000000000000004)","(-2216.0, 3)"
348,"(178, 2.1799999999999993, -1.0)","(-2216.0, 3)"
349,"(218, 0.97999999999999976, -0.52000000000000024)","(-2215.5599360000001, 5)"
350,"(210, 0.8999999999999998, -0.76000000000000012)","(-2214.1999510000001, 5)"
351,"(210, 0.73999999999999988, -0.76000000000000012)","(-2214.1999510000001, 5)"
